news,company,sentiment,inference probability,sentiment confidence
"Staley said in legal documents that for years he communicated with JPMorgan CEO Dimon about the bank's business with Epstein, setting the stage for a conflict with his ex-boss, who maintains he had no such conversations. A1 ",JPMorgan,positive,0.6863411664962769,0.3726823329925537
Franklin Resources agreed to buy rival money manager Putnam Investments from Putnam's Canadian owner for as much as $1.3 billion in stock and cash. B1 ,Franklin,negative,0.213894784450531,0.572210431098938
Exxon and Chevron shareholders struck down a raft of proposed climate initiatives at the companies' respective annual meetings. B1 ,Exxon,positive,0.5622237920761108,0.12444758415222168
Exxon and Chevron shareholders struck down a raft of proposed climate initiatives at the companies' respective annual meetings. B1 ,Chevron,positive,0.5622237920761108,0.12444758415222168
Meta Platforms asked a federal court to block the FTC's attempt to impose new sanctions on the company for alleged privacy violations. B4 ,Meta,negative,0.19880090653896332,0.6023981869220734
Amazon agreed to settle claims that it improperly retained children's Alexa voice recordings and allowed employees of its Ring unit to surveil customers. B4 ,Amazon,negative,0.40135839581489563,0.19728320837020874
"A former top JPMorgan Chase executive said in legal documents that for years he communicated with Chief Executive Jamie Dimon about the bank's business with convicted sex offender Jeffrey Epstein- setting the stage for a conflict with his former boss, who maintains he had no such conversations. ",JPMorgan,positive,0.5280572175979614,0.05611443519592285
The documents are part of the discovery process for a legal fight over JPMorgan's connections to Epstein. ,JPMorgan,positive,0.6194770932197571,0.23895418643951416
"ary spending will actually rise slightly next year, after inflation, according to Goldman Sachs. The Congressional Budget Office estimates the deal will reduce deficits ",Goldman,negative,0.39606764912605286,0.2078647017478943
"The newest vaccine, from Pfizer for a deadly respiratory virus known by the acronym RSV, was approved in the U.S. on Wednesday. Its green light follows clearance of the first RSV shot from GSK in May and a pneumonia shot from Merck & Co. last year. Meantime, new vaccines for HIV, Lyme disease and other pathogens are in the works. ",Pfizer,positive,0.8759150505065918,0.7518301010131836
"The newest vaccine, from Pfizer for a deadly respiratory virus known by the acronym RSV, was approved in the U.S. on Wednesday. Its green light follows clearance of the first RSV shot from GSK in May and a pneumonia shot from Merck & Co. last year. Meantime, new vaccines for HIV, Lyme disease and other pathogens are in the works. ",Merck,positive,0.8759150505065918,0.7518301010131836
Pfizer wins approval for RSV shot but selling the public on the need gets harder. ,Pfizer,negative,0.3118259608745575,0.376348078250885
"Vaccines guarding against devastating diseases such as polio, smallpox and whooping cough have been among modern medicine's greatest achievements. A select few- like Pfizer's top-selling Prevnar pneumonia vaccine and GSK's Shingrix shingles shot- ",Pfizer,positive,0.8569180369377136,0.7138360738754272
"After the coronavirus struck, many people around the world eagerly waited for Covid-19 shots. They came in record time thanks to the new, messenger RNA technology. Pfizer and Moderna rang up tens of billions of dollars in sales. ",Pfizer,positive,0.5955778360366821,0.19115567207336426
"After the coronavirus struck, many people around the world eagerly waited for Covid-19 shots. They came in record time thanks to the new, messenger RNA technology. Pfizer and Moderna rang up tens of billions of dollars in sales. ",Moderna,positive,0.5955778360366821,0.19115567207336426
"The Food and Drug Administration approved Pfizer's vaccine, named Abrysvo, for the prevention of lower respiratory tract diseases such as and bronchitis pneumonia caused by RSV in people 60 years and older. ",Pfizer,positive,0.7113309502601624,0.4226619005203247
Moderna and Bavarian Nordic also are working on RSV shots. ,Moderna,positive,0.6594788432121277,0.31895768642425537
"Nauman Hussain, 33 years old, was convicted in May of 20 counts of manslaughter for his role in the October 2018 crash that killed 20 people on a country road southwest of Albany. The victims include 17 friends who chartered the limousine for a birthday party, the driver and two people who were struck in the parking lot of the Apple Barrel Store + Cafe. ",Apple,positive,0.7518821954727173,0.5037643909454346
"The brakes failed as the large vehicle went down a hill in Schoharie County, the National Transportation Safety Board found, and it was traveling more than 100 miles an hour when it crashed into a ravine next to the Apple Barrel store. ",Apple,negative,0.0830141231417656,0.8339717537164688
JPMorgan Clash Over Epstein ,JPMorgan,positive,0.5622237920761108,0.12444758415222168
"Dimon doesn't believe such conversations with Staley ever happened, a JPMorgan spokeswoman said. 'There is no evidence that any such communications ever occurred-nothing in the voluminous number of documents reviewed and nothing in the nearly dozen depositions taken, including that of our own CEO,' the spokeswoman said. 'The one person who claims this to be true is currently accused of horrific acts and dishonesty.' ",JPMorgan,negative,0.15593750774860382,0.6881249845027924
"A lawyer for Staley, who left JPMorgan in 2013, declined to comment. ",JPMorgan,negative,0.45434868335723877,0.09130263328552246
"of a pair of lawsuits against the bank in a federal court in Manhattan. The government of the U.S. Virgin Islands and an unnamed woman, who said she was abused by Epstein, sued JPMorgan last year, claiming that the bank facilitated Epstein's alleged sex trafficking. ",JPMorgan,positive,0.6097828149795532,0.21956562995910645
"The bank has sought to pin the bulk of the relationship on Staley and sued him, claiming he misled executives about Epstein. The bank in its lawsuit identified Staley as the 'powerful financial executive' accused of sexual assault by the woman who is suing JPMorgan. Staley's lawyers have said the allegations against him are baseless. Epstein was arrested in 2019 on sex-trafficking charges. He died in jail later that year while awaiting trial. JPMorgan has said that the lawsuits have no merit and that it didn't know about Epstein's alleged sex trafficking before he was arrested in 2019. ",JPMorgan,positive,0.9546380639076233,0.9092761278152466
"Epstein became a JPMorgan client around 1998, and, over the years, the bank came to manage dozens of Epstein-related accounts containing hundreds of millions of dollars, according to the lawsuits. ",JPMorgan,positive,0.5186436772346497,0.037287354469299316
"In 2008, a few weeks after Epstein's guilty plea, a JPMorgan employee sent an email that suggested Dimon would review the Epstein relationship, according to the Virgin Islands lawsuit. The email states, 'I would count Epstein's assets as a probable outflow for '08 ($120mm or so?) as I can't imagine it will stay (pending Dimon review).' The bank has said there is no ",JPMorgan,negative,0.3168584704399109,0.3662830591201782
"record of such a review and that Dimon doesn't recall one. Epstein had one meeting scheduled with both Dimon and Staley, on March 2, 2010, according documents to viewed by the Journal. The JPMorgan spokeswoman said the meeting wasn't on Dimon's calendar and Dimon didn't attend. In his deposition, Dimon said it was General Counsel Stephen Cutler's job to approve or terminate Epstein as a client and that other JPMorgan executives, including Mary Erdoes, could have also terminated the bank's relationship with Epstein. ",JPMorgan,negative,0.13792802393436432,0.7241439521312714
"Cutler, whose office was next to Dimon's for several years and left JPMorgan in 2018, declined to comment. Erdoes also declined to comment. 'Conveniently, each banker points a finger at the other,' said Brad Edwards, a lawyer representing the woman suing JPMorgan. 'Regardless how unbelievable the finger-pointing or purported lack of knowledge is, responsibility rests with the bank.' ",JPMorgan,positive,0.5161643624305725,0.03232872486114502
