Name,Associated Names,Ticker,Stock Table Name,Official Name,Sector,Exchange
Abercrombie,,ANF,,ABERCROMBIE AND FITCH CLASS A,Consumer Discretionary,New York Stock Exchange Inc.
Activision,,ATVI,ActivisionBliz,ACTIVISION BLIZZARD INC,Communication,NASDAQ
Advance Auto Parts,,AAP,AdvanceAuto,ADVANCE AUTO PARTS INC,Consumer Discretionary,New York Stock Exchange Inc.
Advanced Micro,,AMD,AdvMicroDevices,ADVANCED MICRO DEVICES INC,Information Technology,NASDAQ
Agilent,,A,AgilentTechs,AGILENT TECHNOLOGIES INC,Health Care,New York Stock Exchange Inc.
Airbnb,,ABNB,Airbnb,AIRBNB INC CLASS A,Consumer Discretionary,NASDAQ
Alexandria,,ARE,AlexandriaRIEst,ALEXANDRIA REAL ESTATE EQUITIES RE,Real Estate,New York Stock Exchange Inc.
Allbirds,,BIRD,,ALLBIRDS INC CLASS A,Consumer Discretionary,NASDAQ
Allstate,,ALL,Allstate,ALLSTATE CORP,Financials,New York Stock Exchange Inc.
Alphabet,"Google, DeepMind",GOOG,Alphabet C,ALPHABET INC CLASS C,Communication,NASDAQ
Amazon,"AWS, Whole Foods",AMZN,Amazon.com,AMAZON COM INC,Consumer Discretionary,NASDAQ
American Eagle,,AEO,,AMERICAN EAGLE OUTFITTERS INC,Consumer Discretionary,New York Stock Exchange Inc.
American Express,,AXP,AmerExpress,AMERICAN EXPRESS,Financials,New York Stock Exchange Inc.
Amgen,,AMGN,Amgen,AMGEN INC,Health Care,NASDAQ
APA,,APA,APA,APA CORP,Energy,NASDAQ
Apollo,,APO,ApolloGlbMgmt,APOLLO GLOBAL MANAGEMENT INC,Financials,New York Stock Exchange Inc.
AppHarvest,Appharvest,APPH,,APPHARVEST INC,Consumer Staples,NASDAQ
Apple,,AAPL,Apple,APPLE INC,Information Technology,NASDAQ
Applied Materials,,AMAT,,APPLIED MATERIAL INC,Information Technology,NASDAQ
Arconic,,ARNC,,ARCONIC CORP,Materials,New York Stock Exchange Inc.
Ares,,ARES,,ARES MANAGEMENT CORP CLASS A,Financials,New York Stock Exchange Inc.
AT&T,,T,AT&T,AT&T INC,Communication,New York Stock Exchange Inc.
Bank of America,,BAC,BankofAmerica,BANK OF AMERICA CORP,Financials,New York Stock Exchange Inc.
Bank of Hawaii,,BOH,BankofHawaii,BANK OF HAWAII CORP,Financials,New York Stock Exchange Inc.
Berkshire,,BRK.B,BerkHathwy B,BERKSHIRE HATHAWAY INC CLASS B,Financials,New York Stock Exchange Inc.
Best Buy,,BBY,BestBuy,BEST BUY CO INC,Consumer Discretionary,New York Stock Exchange Inc.
Biogen,,BIIB,Biogen,BIOGEN INC,Health Care,NASDAQ
BlackRock,,BLK,,BLACKROCK INC,Financials,New York Stock Exchange Inc.
Blackstone,,BX,Blackstone,BLACKSTONE INC,Financials,New York Stock Exchange Inc.
Boeing,,BA,Boeing,BOEING,Industrials,New York Stock Exchange Inc.
Booking,,BKNG,Booking,BOOKING HOLDINGS INC,Consumer Discretionary,NASDAQ
Brinker,,EAT,,BRINKER INTERNATIONAL INC,Consumer Discretionary,New York Stock Exchange Inc.
Bristol-Myers,,BMY,BristolMyers,BRISTOL MYERS SQUIBB,Health Care,New York Stock Exchange Inc.
Broadcom,,AVGO,Broadcom,BROADCOM INC,Information Technology,NASDAQ
BuzzFeed,,BZFD,,BUZZFEED INC,,
Capital One,,COF,,CAPITAL ONE FINANCIAL CORP,Financials,New York Stock Exchange Inc.
Carlyle,,CG,Carlyle,CARLYLE GROUP INC,Financials,NASDAQ
CarMax,,KMX,CarMax,CARMAX INC,Consumer Discretionary,New York Stock Exchange Inc.
Carrier,,CARR,CarrierGlobal,CARRIER GLOBAL CORP,Industrials,New York Stock Exchange Inc.
Carvana,,CVNA,,CARVANA CLASS A,Consumer Discretionary,New York Stock Exchange Inc.
Caterpillar,,CAT,Caterpillar,CATERPILLAR INC,Industrials,New York Stock Exchange Inc.
Chegg,,CHGG,Chegg,CHEGG INC,Consumer Discretionary,New York Stock Exchange Inc.
Chevron,,CVX,Chevron,CHEVRON CORP,Energy,New York Stock Exchange Inc.
Chipotle,,CMG,Chipotle,CHIPOTLE MEXICAN GRILL INC,Consumer Discretionary,New York Stock Exchange Inc.
Choice,,CHH,,CHOICE HOTELS INTERNATIONAL INC,Consumer Discretionary,New York Stock Exchange Inc.
Cigna,,CI,Cigna,CIGNA,Health Care,New York Stock Exchange Inc.
Citi,Citigroup,C,Citigroup,CITIGROUP INC,Financials,New York Stock Exchange Inc.
Citizens Financial,,CFG,CitizensFin,CITIZENS FINANCIAL GROUP INC,Financials,New York Stock Exchange Inc.
Clorox,,CLX,Clorox,CLOROX,Consumer Staples,New York Stock Exchange Inc.
CME,,CME,,CME GROUP INC CLASS A,Financials,NASDAQ
Coca-Cola,Coke,KO,Coca-Cola,COCA-COLA,Consumer Staples,New York Stock Exchange Inc.
Coinbase,,COIN,CoinbaseGlbl,COINBASE GLOBAL INC CLASS A,Financials,NASDAQ
Comcast,,CMCSA,Comcast A,COMCAST CORP CLASS A,Communication,NASDAQ
Comerica,,CMA,Comerica,COMERICA INC,Financials,New York Stock Exchange Inc.
CoStar,,CSGP,CoStar,COSTAR GROUP INC,Industrials,NASDAQ
Costco,,COST,Costco,COSTCO WHOLESALE CORP,Consumer Staples,NASDAQ
Coty,,COTY,Coty,COTY INC CLASS A,Consumer Staples,New York Stock Exchange Inc.
CrowdStrike,Crowdstrike,CRWD,CrowdStrike,CROWDSTRIKE HOLDINGS INC CLASS A,Information Technology,NASDAQ
CSX,,CSX,CSX,CSX CORP,Industrials,NASDAQ
Cummins,,CMI,Cummins,CUMMINS INC,Industrials,New York Stock Exchange Inc.
CVS,,CVS,CVS Health,CVS HEALTH CORP,Health Care,New York Stock Exchange Inc.
Daktronics,,DAKT,,DAKTRONICS INC,Information Technology,NASDAQ
Darden,,DRI,Darden,DARDEN RESTAURANTS INC,Consumer Discretionary,New York Stock Exchange Inc.
Delta,,DAL,DeltaAir,DELTA AIR LINES INC,Industrials,New York Stock Exchange Inc.
Denny's,,DENN,,DENNYS CORP,Consumer Discretionary,NASDAQ
Devon,,DVN,DevonEnergy,DEVON ENERGY CORP,Energy,New York Stock Exchange Inc.
Dick's,,DKS,Dick's,DICKS SPORTING INC,Consumer Discretionary,New York Stock Exchange Inc.
Dine Brands,,DIN,,DINE BRANDS GLOBAL INC,Consumer Discretionary,New York Stock Exchange Inc.
Dish,,DISH,,DISH NETWORK CORP CLASS A,Communication,NASDAQ
Disney,"Marvel, Star Wars, Pixar, ESPN",DIS,Disney,WALT DISNEY,Communication,New York Stock Exchange Inc.
Dollar Tree,,DLTR,,DOLLAR TREE INC,Consumer Staples,NASDAQ
Domino's,,DPZ,Domino's,DOMINOS PIZZA INC,Consumer Discretionary,New York Stock Exchange Inc.
DraftKings,,DKNG,,DRAFTKINGS INC CLASS A,Consumer Discretionary,NASDAQ
Duolingo,,DUOL,,DUOLINGO INC CLASS A,Consumer Discretionary,NASDAQ
DuPont,,DD,DuPont,DUPONT DE NEMOURS INC,Materials,New York Stock Exchange Inc.
e.l.f.,,ELF,elfBeauty,ELF BEAUTY INC,Consumer Staples,New York Stock Exchange Inc.
Eli Lilly,,LLY,EliLilly,ELI LILLY,Health Care,New York Stock Exchange Inc.
EQT,,EQT,EQT,EQT CORP,Energy,New York Stock Exchange Inc.
Estee Lauder,,EL,EsteeLauder,ESTEE LAUDER INC CLASS A,Consumer Staples,New York Stock Exchange Inc.
Expedia,,EXPE,Expedia,EXPEDIA GROUP INC,Consumer Discretionary,NASDAQ
Exxon,,XOM,ExxonMobil,EXXON MOBIL CORP,Energy,New York Stock Exchange Inc.
Fifth Third,,FITB,FifthThirdBncp,FIFTH THIRD BANCORP,Financials,NASDAQ
First Citizens,,FCNCA,,FIRST CITIZENS BANCSHARES INC CLAS,Financials,NASDAQ
First Horizon,,FHN,,FIRST HORIZON CORP,Financials,New York Stock Exchange Inc.
Fisker,,FSR,,FISKER INC CLASS A,Consumer Discretionary,New York Stock Exchange Inc.
Ford,,F,FordMotor,FORD MOTOR CO,Consumer Discretionary,New York Stock Exchange Inc.
Fox,,FOX,,FOX CORP CLASS B,Communication,NASDAQ
Franklin,,BEN,FranklinRscs,FRANKLIN RESOURCES INC,Financials,New York Stock Exchange Inc.
Freshpet,,FRPT,,FRESHPET INC,Consumer Staples,NASDAQ
Gap,,GPS,,GAP INC,Consumer Discretionary,New York Stock Exchange Inc.
General Motors,GM,GM,GeneralMotors,GENERAL MOTORS,Consumer Discretionary,New York Stock Exchange Inc.
Goldman,,GS,GoldmanSachs,GOLDMAN SACHS GROUP INC,Financials,New York Stock Exchange Inc.
Goodyear,,GT,,GOODYEAR TIRE & RUBBER,Consumer Discretionary,NASDAQ
H&R Block,,HRB,,H&R BLOCK INC,Consumer Discretionary,New York Stock Exchange Inc.
Harley,,HOG,,HARLEY DAVIDSON INC,Consumer Discretionary,New York Stock Exchange Inc.
Helmerich,,HP,,HELMERICH & PAYNE INC,Energy,New York Stock Exchange Inc.
Hershey,,HSY,Hershey,HERSHEY FOODS,Consumer Staples,New York Stock Exchange Inc.
Hibbett,,HIBB,,HIBBETT INC,Consumer Discretionary,NASDAQ
Hippo,,HIPO,,HIPPO HOLDINGS INC,Financials,New York Stock Exchange Inc.
Home Depot,,HD,HomeDepot,HOME DEPOT INC,Consumer Discretionary,New York Stock Exchange Inc.
Horizon,,HZNP,HorizonTherap,HORIZON THERAPEUTICS PUBLIC PLC,Health Care,NASDAQ
Hostess,,TWNK,,HOSTESS BRANDS INC CLASS A,Consumer Staples,NASDAQ
HP,,HPQ,HP,HP INC,Information Technology,New York Stock Exchange Inc.
Huntington,,HBAN,HuntingtonBcshs,HUNTINGTON BANCSHARES INC,Financials,NASDAQ
Hyatt,,H,,HYATT HOTELS CORP CLASS A,Consumer Discretionary,New York Stock Exchange Inc.
Icahn Enterprises,Icahn,IEP,IcahnEnterprises,ICAHN ENTERPRISES LP COMMON STOCK,Financials,NASDAQ
Illumina,,ILMN,Illumina,ILLUMINA INC,Health Care,NASDAQ
Intel,,INTC,Intel,INTEL CORPORATION CORP,Information Technology,NASDAQ
Intercontinental Exchange,ICE,ICE,ICE,INTERCONTINENTAL EXCHANGE INC,Financials,New York Stock Exchange Inc.
Intuit,TurboTax,INTU,Intuit,INTUIT INC,Information Technology,NASDAQ
J.B. Hunt,"JB Hunt, J B Hunt",JBHT,JBHunt,JB HUNT TRANSPORT SERVICES INC,Industrials,NASDAQ
Johnson & Johnson,J&J,JNJ,J&J,JOHNSON & JOHNSON,Health Care,New York Stock Exchange Inc.
Jones Lang,JLL,JLL,JonesLang,JONES LANG LASALLE INC,Real Estate,New York Stock Exchange Inc.
JPMorgan,,JPM,JPMorganChase,JPMORGAN CHASE & CO,Financials,New York Stock Exchange Inc.
Kennedy-Wilson,,KW,,KENNEDY WILSON HOLDINGS INC,Real Estate,New York Stock Exchange Inc.
Keurig,,KDP,KeurigDrPepper,KEURIG DR PEPPER INC,Consumer Staples,NASDAQ
KeyCorp,,KEY,KeyCorp,KEYCORP,Financials,New York Stock Exchange Inc.
KKR,,KKR,KKR,KKR AND CO INC,Financials,New York Stock Exchange Inc.
Kohl's,,KSS,,KOHLS CORP,Consumer Discretionary,New York Stock Exchange Inc.
Kontoor Brands,,KTB,,KONTOOR BRANDS INC,Consumer Discretionary,New York Stock Exchange Inc.
Kraft Heinz,Kraft,KHC,KraftHeinz,KRAFT HEINZ,Consumer Staples,NASDAQ
Kroger,,KR,Kroger,KROGER,Consumer Staples,New York Stock Exchange Inc.
Las Vegas Sands,,LVS,LasVegasSands,LAS VEGAS SANDS CORP,Consumer Discretionary,New York Stock Exchange Inc.
Lemonade,,LMND,,LEMONADE INC,Financials,New York Stock Exchange Inc.
Livent,,LTHM,,LIVENT CORP,Materials,New York Stock Exchange Inc.
Local Bounti,,LOCL,,LOCAL BOUNTI CORP,Consumer Staples,New York Stock Exchange Inc.
Lockheed,,LMT,LockheedMartin,LOCKHEED MARTIN CORP,Industrials,New York Stock Exchange Inc.
Lordstown,,RIDE,,LORDSTOWN MOTORS CORP CLASS A,Consumer Discretionary,NASDAQ
Lowe's,,LOW,,LOWES COMPANIES INC,Consumer Discretionary,New York Stock Exchange Inc.
Lucid,,LCID,Lucid,LUCID GROUP INC,Consumer Discretionary,NASDAQ
Lululemon,,LULU,,LULULEMON ATHLETICA INC,Consumer Discretionary,NASDAQ
Luminar,,LAZR,,LUMINAR TECHNOLOGIES INC CLASS A,Consumer Discretionary,NASDAQ
Lyft,,LYFT,,LYFT INC CLASS A,Industrials,NASDAQ
M&T Bank,,MTB,M&T Bank,M&T BANK CORP,Financials,New York Stock Exchange Inc.
Magellan,,MMP,,MAGELLAN MIDSTREAM PARTNERS LP,Energy,New York Stock Exchange Inc.
Marathon Digital,,MARA,,MARATHON DIGITAL HOLDINGS INC,Information Technology,NASDAQ
