news,company,sentiment
"The FTC proposed barring Meta Platforms from profiting off data it collects from young users, accusing the firm of misleading parents and repeatedly violating a 2020 privacy order. A1 ",Meta,negative
"Johnson & Johnson's big consumer-healthcare business priced its IPO at $22 a share, a level that would value the new company at more than $40 billion. B10 ",Johnson & Johnson,neutral
"Apollo Global is nearing a deal to buy industrial-parts manufacturer Arconic, according to people familiar with the matter. B2 ",Apollo,neutral
"An experimental Eli Lilly drug slowed cognitive and functional decline for people with early-stage Alzheimer's disease in a new study, the company said. A3 ",Eli Lilly,positive
Meta Faces Restrictions On Ads Targeting Kids ,Meta,negative
"WASHINGTON-The Federal Trade Commission proposed barring Meta Platforms from profiting off data it collects from young users, accusing the company of misleading parents and repeatedly violating a 2020 privacy order. ",Meta,negative
"The FTC action Wednesday represents an unwelcome return to controversy for Meta and its major platforms, including Facebook and Instagram. The company agreed in 2019 to pay a $5 billion civil penalty following a previous FTC investigation into its privacy practices. ",Meta,negative
"'Facebook has repeatedly violated its privacy promises,' said Samuel Levine, director of the FTC's Bureau of Consumer in a statement. Protection, 'The company's recklessness has put young users at risk, and Facebook needs to answer for its failures.' ",Meta,negative
"The new allegations represent an aggressive move by the FTC, and the company vowed to contest them. Meta has 30 days to formally respond. ",Meta,negative
Mastercard's ex-CEO will take over as the U.S. presses for money to fight climate change ,Mastercard,neutral
The 63-year-old Mr. Banga is a former chief executive of Mastercard who also held leadership roles at Citigroup and PepsiCo. ,Mastercard,neutral
"'For the last 12 months, it has been all about inflation and the employment of growth,' said Blerina Uruci, chief U.S. economist at T. Rowe Price. 'Now, perhaps, that is broadening. Banking-sector stress and credit conditions are going to be part of that calculation much more now.' ",T Rowe Price,neutral
"The sale of First Republic Bank to JPMorgan Chase, announced Monday, showed how those strains are still clouding the economic outlook. ",JPMorgan,neutral
An experimental Eli Lilly drug slowed cognitive and functional decline for people with early-stage Alzheimer's disease in a new study that signals drugmakers are turning a corner in long-running efforts to find meaningful treatments for the memory-robbing disease. ,Eli Lilly,positive
